GEO_ID,Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Name,State,County,Tract
1400000US06013327000,6581,47.5,5,6.2,4.8,3.1,10.8,16,12.6,15.9,5.6,5,8.2,4.1,2.8,37.9,79.6,3.9,1.8,6.4,0.2,3.3,4.9,"Census Tract 3270, Contra Costa County, California",6,13,327000
1400000US06013328000,2589,42.5,5,3.1,1,4.6,7.3,12.6,15.3,14.1,7.2,2.3,10.9,11.7,4.9,46.1,61.1,5.5,0,22.4,0,8,3,Census Tract 3280; Contra Costa County; California,6,13,328000
1400000US06013329000,6045,48.5,3.3,6,6.3,6.3,7.3,11.6,20.7,16.1,7,5.5,4.8,4.7,0.3,37.9,65.8,3.8,1.6,8,0,14.4,6.4,Census Tract 3290; Contra Costa County; California,6,13,329000
1400000US06013330000,5841,51.2,7.5,3.8,6.7,8.1,6.1,23.8,11.3,13,6,3.3,5.1,3.8,1.5,32.7,63.2,1.9,2.4,7.4,0.3,20.3,4.5,Census Tract 3300; Contra Costa County; California,6,13,330000
1400000US06013331000,7008,47.2,10.4,5,4.9,6.9,4.4,18.8,14.3,12.4,7.1,6.2,5,3.6,1.1,34.5,78,4.4,0.6,10,0.5,5.3,1.2,Census Tract 3310; Contra Costa County; California,6,13,331000
1400000US06013332000,7915,49.3,5.5,5.4,9.1,7.4,4.4,12.4,14.2,17.3,5.2,3.8,6.6,7.8,0.8,39.5,82.3,1.3,0,7.6,0,3.5,5.4,Census Tract 3320; Contra Costa County; California,6,13,332000
1400000US06013333101,3976,51.4,9.9,7.2,3.7,4.3,8.7,10.2,19.8,14,4.9,6,6.7,3.9,0.5,37.9,70.8,2.8,0,6.4,5.6,8.4,6,Census Tract 3331.01; Contra Costa County; California,6,13,333101
1400000US06013333102,4460,44.2,7.2,7.1,5.4,4.8,7.2,15,11.6,21.1,3.2,5.8,6.2,4.6,0.9,37.6,73.3,1.4,0,19.8,0,2.1,3.4,Census Tract 3331.02; Contra Costa County; California,6,13,333102
1400000US06013333200,5965,46.7,8.6,6.9,5.1,5.9,5.3,10.5,18.2,14,6.9,5.6,7.7,4.1,1.2,38,74.8,4.1,0.3,8.9,0,7.6,4.4,Census Tract 3332; Contra Costa County; California,6,13,333200
1400000US06013334001,3952,46.3,6.4,4.7,6,6.1,6.1,16.1,13,14.1,6.1,4.1,8.1,6.5,2.9,39.1,75.3,2,0.8,10.4,0,9.9,1.7,Census Tract 3340.01; Contra Costa County; California,6,13,334001
1400000US06013334004,6812,48.4,5.7,6.9,3.1,7.2,4.4,13.3,14.3,15.3,7.2,5.2,6.8,6.9,3.7,42,67.4,2.1,0,19.5,0.9,5.8,4.2,"Census Tract 3340.04, Contra Costa County, California",6,13,334004
1400000US06013334006,5000,49.4,6.2,7.6,6.6,5.9,5.9,7.2,17.9,17.6,6.2,7.2,9,2.4,0.2,41.5,72.3,0,0,21.8,1.2,1.7,3,Census Tract 3340.06; Contra Costa County; California,6,13,334006
1400000US06013334200,6951,46.1,7.3,7.3,6.5,5.8,2.9,3.7,15.5,18.1,7.4,5.6,8.5,4.9,6.5,46.1,88.7,1,0,4.7,0,1.6,4,Census Tract 3342; Contra Costa County; California,6,13,334200
1400000US06013335000,3693,47.8,3.7,5.1,6.6,9.3,9.3,12.7,15.1,15.8,6,5.8,3.5,4.6,2.6,39,80.7,0.4,0,7.9,0.5,6.7,3.8,Census Tract 3350; Contra Costa County; California,6,13,335000
1400000US06013336101,4161,49,7.6,8.8,8.5,6.3,11.1,23.9,11.6,11.5,4.7,2.7,2.5,0.5,0.4,28.7,45.3,6,0.5,7.4,0,35.9,5,Census Tract 3361.01; Contra Costa County; California,6,13,336101
1400000US06013336102,7297,56.8,10.9,8.4,6.3,4.6,8.6,28.3,15.7,6.5,6.2,2.2,1.9,0,0.5,28.5,49.7,6.8,0.2,10.3,0,30.9,2.2,"Census Tract 3361.02, Contra Costa County, California",6,13,336102
1400000US06013336201,3662,50,8.2,6.2,6,4.1,14.3,15.5,15.4,17.9,2.5,0.7,4.8,2.9,1.5,31,44.1,0.5,0,4.8,3.8,40.3,6.5,Census Tract 3362.01; Contra Costa County; California,6,13,336201
1400000US06013336202,5367,54.2,8.6,8.8,9.5,5.9,11.5,23.4,13.8,11.3,1.7,1.9,3.7,0,0,26.7,36.6,5.5,0,2.6,1,50.3,4.1,Census Tract 3362.02; Contra Costa County; California,6,13,336202
1400000US06013337100,2999,54.4,4.2,4.4,9.7,7.7,4.7,11.9,9.8,25.1,8.3,3.1,8.5,2.2,0.5,43.4,75.7,1.8,0,12.1,0,7.3,3.2,Census Tract 3371; Contra Costa County; California,6,13,337100
1400000US06013337200,6834,46.2,7.1,5.3,3.6,3.7,3,14.9,15.4,19,6.8,5.9,8.2,5.4,1.7,43.8,69.4,1,0.1,11.7,1.4,13.2,3.1,"Census Tract 3372, Contra Costa County, California",6,13,337200
1400000US06013337300,6194,52.1,4.8,6.9,8.1,5.5,5.5,6.4,12.7,17.2,6.3,9.3,11.9,3.3,2.1,45,74.2,1.2,0.7,16.1,1.2,1.9,4.6,Census Tract 3373; Contra Costa County; California,6,13,337300
1400000US06013338101,4052,48.5,7.5,6.4,6.7,5.5,7.8,13,17.2,14.9,5.7,6.6,1.5,4,3.1,36.3,59.6,6.7,0,20.1,0,9.9,3.6,Census Tract 3381.01; Contra Costa County; California,6,13,338101
1400000US06013338102,3970,49.9,6,4.2,4.8,13.5,3.6,10.6,13.7,23.1,6.5,4.4,4,4.1,1.4,40.1,76.1,0.6,0,14,0,4.1,5.2,Census Tract 3381.02; Contra Costa County; California,6,13,338102
1400000US06013338201,3661,48,4.6,7.5,4.9,5.8,1.6,6.5,19.3,19.2,4.9,5.5,14,3.4,2.9,45,79.8,0,0,15.2,0.3,1.7,3,Census Tract 3382.01; Contra Costa County; California,6,13,338201
1400000US06013338203,4983,46.8,5.2,3.2,3.5,2.6,7.6,25.6,17.8,15.6,8.5,3.6,3.8,2.4,0.6,36.8,70.1,4.2,0.5,16.5,0,4.3,4.4,Census Tract 3382.03; Contra Costa County; California,6,13,338203
1400000US06013338204,5222,45,4.8,7,1.7,2.6,1.9,12.6,18.6,14.4,7.5,10.2,11.2,5.5,1.8,45.6,73.7,1.3,0,21.2,0.2,1.1,2.5,Census Tract 3382.04; Contra Costa County; California,6,13,338204
1400000US06013338301,2805,49.8,5.6,6.7,5.3,9.9,2.4,3.1,13.6,19.1,6.5,5.4,13.6,7.4,1.4,46.4,75.3,0,0,21.7,0,0,3,Census Tract 3383.01; Contra Costa County; California,6,13,338301
1400000US06013338302,5715,43.4,2.4,10,5.8,9.7,1.1,4.7,12.4,20.1,7.8,6.8,12.9,5.7,0.8,46.8,83.1,1.2,0,13.1,0,1,1.7,Census Tract 3383.02; Contra Costa County; California,6,13,338302
1400000US06013339001,3754,50.7,0.7,5.8,8.1,2.1,7.5,31.1,15.3,7.4,6.3,6.8,1.4,4.2,3.3,33.3,75.9,3.6,0.2,9.5,0,5.2,5.6,Census Tract 3390.01; Contra Costa County; California,6,13,339001
