Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,GEO_ID,Name,State,County,Tract
3145,48.3,6.6,1.9,4.8,6.1,4.6,10.4,8.8,19.0,7.9,8.0,8.7,6.3,6.7,48.0,69.3,6.4,0.0,19.3,0.0,2.0,3.0,1400000US06001432800,"Census Tract 4328, Alameda County, California",6,1,432800
4036,50.6,3.8,7.2,9.0,5.2,7.1,17.2,13.5,13.8,5.3,4.4,5.9,6.0,1.5,35.2,44.1,6.6,0.0,39.6,0.0,5.0,4.8,1400000US06001433102,"Census Tract 4331.02, Alameda County, California",6,1,433102
3234,49.8,6.2,5.2,7.7,7.6,6.8,13.4,15.3,17.4,6.2,4.6,3.5,4.5,1.6,37.7,49.2,4.7,3.0,22.6,1.4,13.5,5.6,1400000US06001433700,"Census Tract 4337, Alameda County, California",6,1,433700
2768,52.1,4.9,11.1,9.5,9.2,6.3,16.3,15.2,16.3,5.7,1.8,1.2,2.4,0.1,30.0,44.7,19.2,8.9,8.8,1.2,16.5,0.8,1400000US06001407300,"Census Tract 4073, Alameda County, California",6,1,407300
3810,49.5,6.0,3.5,5.1,4.0,2.8,10.6,13.4,13.4,9.7,8.8,13.4,7.0,2.4,50.1,83.1,1.8,0.4,8.8,0.0,1.3,4.5,1400000US06001421500,"Census Tract 4215, Alameda County, California",6,1,421500
1114,80.3,0.0,0.0,0.0,1.3,4.7,11.2,19.3,31.8,13.6,8.7,8.7,0.8,0.0,49.8,68.9,21.5,1.3,6.0,0.0,1.5,0.8,1400000US06055200900,"Census Tract 2009, Napa County, California",6,55,200900
4482,50.7,3.1,3.7,5.6,8.7,2.1,9.8,10.1,13.9,7.7,7.2,13.7,10.5,3.7,50.1,74.5,0.3,1.6,5.0,0.1,13.5,4.9,1400000US06055201200,"Census Tract 2012, Napa County, California",6,55,201200
6015,50.7,5.1,2.5,6.7,7.1,3.9,14.1,14.2,15.8,6.1,7.8,9.4,6.7,0.6,42.5,81.8,3.0,0.2,6.4,0.0,4.6,4.0,1400000US06073009704,"Census Tract 97.04, San Diego County, California",6,73,9704
6203,46.4,7.9,7.0,7.1,4.8,9.3,17.3,14.6,11.1,4.4,3.0,6.8,5.5,1.2,33.4,44.9,5.2,1.3,41.7,0.0,4.1,2.8,1400000US06073008800,"Census Tract 88, San Diego County, California",6,73,8800
4462,50.9,2.4,1.8,1.0,40.9,18.6,4.4,9.8,8.0,4.6,3.0,2.8,1.5,1.1,20.3,74.6,1.7,0.6,13.5,0.1,5.5,4.0,1400000US06073009106,"Census Tract 91.06, San Diego County, California",6,73,9106
2810,49.0,6.0,4.6,8.7,7.4,4.0,2.8,7.7,22.7,5.6,6.8,10.2,8.7,4.8,50.0,90.8,0.0,0.6,4.9,0.0,0.0,3.6,1400000US06073008311,"Census Tract 83.11, San Diego County, California",6,73,8311
6058,47.4,4.7,5.6,7.2,5.9,6.7,16.3,14.0,15.4,5.8,5.8,6.6,3.5,2.4,38.3,73.6,6.4,0.2,9.0,0.0,1.8,9.0,1400000US06073013606,"Census Tract 136.06, San Diego County, California",6,73,13606
