Name,GEO_ID,"Less than $50,000","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 to $299,999","$300,000 to $499,999","$500,000 or more",Median (dollars),State,County,Tract
"Census Tract 100.12, San Bernardino County, California",1400000US06071010012,3.1,5.7,78,13.2,0,0,0,191400,6,71,10012
"Census Tract 100.15, San Bernardino County, California",1400000US06071010015,0.8,7.4,86.3,5.6,0,0,0,200300,6,71,10015
"Census Tract 1.09, San Bernardino County, California",1400000US06071000109,0,2.6,4.8,56.3,32,4.3,0,461500,6,71,109
"Census Tract 404.02, Riverside County, California",1400000US06065040402,3.8,1.9,50.8,31.3,10.2,1.9,0,281300,6,65,40402
"Census Tract 405.01, Riverside County, California",1400000US06065040501,5.5,14,39.5,41,0,0,0,267800,6,65,40501
"Census Tract 425.14, Riverside County, California",1400000US06065042514,0,0,82.9,17.1,0,0,0,252300,6,65,42514
"Census Tract 424.04, Riverside County, California",1400000US06065042404,0,17.9,72.3,9.8,0,0,0,179900,6,65,42404
"Census Tract 425.05, Riverside County, California",1400000US06065042505,2.7,3.4,81.9,12.1,0,0,0,183000,6,65,42505
"Census Tract 425.10, Riverside County, California",1400000US06065042510,0,0,98.2,0,0,0.8,1,216400,6,65,42510
"Census Tract 425.18, Riverside County, California",1400000US06065042518,1.3,0,95.2,2.6,0.8,0,0,244700,6,65,42518
"Census Tract 425.19, Riverside County, California",1400000US06065042519,0,0,80.4,0,0,0,19.6,231000,6,65,42519
"Census Tract 427.20, Riverside County, California",1400000US06065042720,7.7,12.2,48.3,18.3,13.5,0,0,229500,6,65,42720
"Census Tract 430.06, Riverside County, California",1400000US06065043006,0,0,74.5,21.2,2.4,0,1.9,198300,6,65,43006
"Census Tract 433.14, Riverside County, California",1400000US06065043314,1.6,2.9,82.5,12.9,0,0,0,218200,6,65,43314
"Census Tract 433.15, Riverside County, California",1400000US06065043315,0,5.7,78.2,12.6,3.4,0,0,233800,6,65,43315
"Census Tract 438.07, Riverside County, California",1400000US06065043807,4.6,3.5,67.6,23.5,0.7,0,0,237400,6,65,43807
"Census Tract 441.01, Riverside County, California",1400000US06065044101,3.8,9.6,81.3,2.4,0,2.9,0,196900,6,65,44101
"Census Tract 442, Riverside County, California",1400000US06065044200,5.7,12.7,72,1.8,0,0,7.8,159800,6,65,44200
"Census Tract 448.06, Riverside County, California",1400000US06065044806,0,0,35.4,34.2,22.1,8.3,0,426600,6,65,44806
"Census Tract 448.07, Riverside County, California",1400000US06065044807,0,0,3.8,32.4,37.3,13,13.5,592400,6,65,44807
"Census Tract 449.07, Riverside County, California",1400000US06065044907,0,5.1,85.6,9,0.3,0,0,191000,6,65,44907
"Census Tract 304, Riverside County, California",1400000US06065030400,0,1.8,74.9,23.3,0,0,0,259100,6,65,30400
