White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,GEO_ID,Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Name,State,County,Tract
71.9,5.4,0.6,1.8,0,15.9,4.3,1400000US06019004901,4004,45.8,6.9,7.8,7.4,3.8,6.9,14.6,10,12.5,10.4,5.7,8.1,3.6,2.2,38.3,"Census Tract 49.01, Fresno County, California",6,19,4901
72.1,9.1,0.6,3.6,0,9.6,5,1400000US06019004902,2085,40.7,8.9,9.1,6.4,9.7,4.1,16.6,9.9,13.2,3,7.1,7.7,2.7,1.7,32.2,"Census Tract 49.02, Fresno County, California",6,19,4902
74.2,5.7,0,4.9,0,10.1,5.1,1400000US06073020211,6968,50.4,6.9,8.8,5.9,7.8,8.7,20.5,9.8,11.3,8,4.1,4.6,1,2.8,32,"Census Tract 202.11, San Diego County, California",6,73,20211
83.5,0.5,0,7.9,0,2.4,5.7,1400000US06073020304,6898,46.7,6.8,4.2,7.2,7,5.5,11.5,9.4,17.3,4.9,7.7,8.3,8,2.4,42.9,"Census Tract 203.04, San Diego County, California",6,73,20304
80.1,2.3,0,5.4,0.6,4.4,7.2,1400000US06073020307,7447,47.2,6,4.6,7.2,7.2,4.8,10.1,15.6,13.5,7.2,7,9,6.4,1.4,41,"Census Tract 203.07, San Diego County, California",6,73,20307
61.8,1.1,0,5.1,0,29.8,2.2,1400000US06073020601,6303,53.4,6.7,7.8,7.1,10.4,12,18,13.3,11.9,5.8,2.3,2.5,1.7,0.5,28.4,"Census Tract 206.01, San Diego County, California",6,73,20601
76.2,10.7,1.3,6.5,0,1.1,4.2,1400000US06073001100,3238,52.5,6,1,2.2,2.4,6.1,33.4,18.5,13.9,5.3,4.3,4.9,1.2,0.9,34.7,"Census Tract 11, San Diego County, California",6,73,1100
73.5,11.8,0,1.1,0,9.2,4.4,1400000US06073001700,4370,47.2,3.5,2,4.1,3.7,6.5,31.5,16.9,16.9,5.5,4.3,3.5,0.7,0.8,33.7,"Census Tract 17, San Diego County, California",6,73,1700
65.3,15.2,1.3,8,0,4.7,5.5,1400000US06073001800,5852,44.3,6.4,5.2,5.4,4,9.8,25.3,14.8,12.3,6,3,5.5,0.9,1.4,31.7,"Census Tract 18, San Diego County, California",6,73,1800
86.9,2.9,0,4.2,0.3,1.2,4.4,1400000US06073001900,3131,47.8,4.4,1.9,3.3,1.7,4,22.5,17.2,14.7,10.6,6.6,8.7,2.9,1.3,41.4,"Census Tract 19, San Diego County, California",6,73,1900
63.7,14.3,0.6,9.3,0,4.6,7.6,1400000US06073002100,5319,52.9,2.6,2.4,2.7,6.2,6.9,21.8,20.2,13,8.4,6.2,4.2,4.9,0.4,38.1,"Census Tract 21, San Diego County, California",6,73,2100
73.1,7,0,7.3,0,8.2,4.3,1400000US06073002401,4864,51.1,6.7,6.4,7.8,6,6.6,26.2,14.7,10.8,4.1,5.7,4.2,0.6,0.2,30.9,"Census Tract 24.01, San Diego County, California",6,73,2401
47.3,24.8,1,17.8,0.5,4.8,3.7,1400000US06073002708,5646,48.1,8.3,8.3,7.8,7.8,12.8,13.6,14,10.3,3.4,4.6,5,3,1,29.8,"Census Tract 27.08, San Diego County, California",6,73,2708
52.6,24.8,0,10.7,0,7.8,4,1400000US06073002709,4250,51.5,7.7,15,9.5,4.3,7.7,17.3,16.2,11.1,4,2.3,3.2,1.7,0.1,28.4,"Census Tract 27.09, San Diego County, California",6,73,2709
72.5,8.7,0,12.8,0,4.1,2,1400000US06073002803,5117,41.5,6.4,6.3,6.2,1.3,8.3,22.8,11.1,10,11.2,2.5,8,2.4,3.3,34.7,"Census Tract 28.03, San Diego County, California",6,73,2803
61,16,0,11.2,1.7,5.8,4.3,1400000US06073002902,7406,51.6,4.6,6.4,3.9,9.1,18.2,16.7,12.7,9.7,6.4,3.9,4.4,3.8,0.4,29.2,"Census Tract 29.02, San Diego County, California",6,73,2902
30.7,14.4,0.9,40,1.3,7.9,4.7,1400000US06073003115,7088,49.8,4.9,8.8,6.2,10.1,5.3,14.3,13.5,11.4,6.9,5.4,7.2,4.5,1.4,35.6,"Census Tract 31.15, San Diego County, California",6,73,3115
72.5,3.5,1.6,7.3,0,11.7,3.5,1400000US06073003202,4563,46.2,5.7,4.6,7.5,5,7.9,20.6,10.2,12,6.5,6.7,4.4,6.2,2.6,34.7,"Census Tract 32.02, San Diego County, California",6,73,3202
